"","values","timepoint","id","process"
"1",0.0917828573539114,1,"AR(1)_1","AR(1)"
"2",0.00617430422592895,2,"AR(1)_1","AR(1)"
"3",0.153647838535456,3,"AR(1)_1","AR(1)"
"4",0.100443459055326,4,"AR(1)_1","AR(1)"
"5",-0.0219466744320501,5,"AR(1)_1","AR(1)"
"6",-0.23024865849057,6,"AR(1)_1","AR(1)"
"7",0.0203936284180828,7,"AR(1)_1","AR(1)"
"8",0.00366409046571003,8,"AR(1)_1","AR(1)"
"9",-0.000153390123610595,9,"AR(1)_1","AR(1)"
"10",0.0943222650190857,10,"AR(1)_1","AR(1)"
"11",0.119851025517443,11,"AR(1)_1","AR(1)"
"12",0.107330542328728,12,"AR(1)_1","AR(1)"
"13",0.134829954092313,13,"AR(1)_1","AR(1)"
"14",0.132145611710032,14,"AR(1)_1","AR(1)"
"15",0.0603147430205319,15,"AR(1)_1","AR(1)"
"16",-0.174809272378125,16,"AR(1)_1","AR(1)"
"17",-0.00794113416177879,17,"AR(1)_1","AR(1)"
"18",-0.00878932761761159,18,"AR(1)_1","AR(1)"
"19",-0.0190952817175776,19,"AR(1)_1","AR(1)"
"20",-0.154713351076958,20,"AR(1)_1","AR(1)"
"21",-0.109700345941645,21,"AR(1)_1","AR(1)"
"22",-0.00208598235668793,22,"AR(1)_1","AR(1)"
"23",0.135033562210229,23,"AR(1)_1","AR(1)"
"24",0.0437346521497921,24,"AR(1)_1","AR(1)"
"25",0.0562610220158538,25,"AR(1)_1","AR(1)"
"26",0.017123904748051,26,"AR(1)_1","AR(1)"
"27",-0.13085639378364,27,"AR(1)_1","AR(1)"
"28",-0.0938420138434241,28,"AR(1)_1","AR(1)"
"29",-0.0769658009084046,29,"AR(1)_1","AR(1)"
"30",-0.0367176600344804,30,"AR(1)_1","AR(1)"
"31",0.0953154731845962,31,"AR(1)_1","AR(1)"
"32",0.114443764119593,32,"AR(1)_1","AR(1)"
"33",0.0293251460224785,33,"AR(1)_1","AR(1)"
"34",-0.0136061096046594,34,"AR(1)_1","AR(1)"
